,Link,Num
36,/biz/department-of-coffee-and-social-affairs-chicago-12?osq=cafe,26
37,/biz/build-coffee-chicago?osq=cafe,26
38,/biz/le-cafe-chicago?osq=cafe,26
39,/biz/a-cup-of-joe-chicago?osq=cafe,26
40,/biz/addis-cafe-oak-park-3?osq=cafe,27
41,/biz/city-cafe-chicago-2?osq=cafe,27
42,/biz/front-bar-chicago?osq=cafe,27
43,/biz/julius-meinl-chicago-2?osq=cafe,27
44,/biz/surge-coffee-bar-and-billiards-chicago?osq=cafe,27
45,/biz/red-square-cafe-and-lounge-chicago?osq=cafe,27
46,/biz/do-rite-donuts-and-chicken-chicago-11?osq=cafe,27
47,/biz/groundswell-coffee-roasters-chicago-4?osq=cafe,27
48,/biz/cornerstone-caf%C3%A9-chicago-3?osq=cafe,27
49,/biz/kanela-breakfast-club-chicago-5?osq=cafe,27
50,/biz/8a5e-chicago?osq=cafe,28
51,/biz/bel-ami-chicago?osq=cafe,28
52,/biz/beograd-cafe-chicago?osq=cafe,28
53,/biz/chicago-diplomat-cafe-chicago?osq=cafe,28
54,/biz/esencia-urban-kitchen-chicago?osq=cafe,28
55,/biz/alliance-patisserie-chicago?osq=cafe,28
56,/biz/sanctuary-cafe-chicago?osq=cafe,28
57,/biz/drunken-bean-chicago?osq=cafe,28
58,/biz/cafe-spiaggia-chicago-4?osq=cafe,28
59,/biz/caf%C3%A9-press-chicago-chicago-4?osq=cafe,28
60,/biz/specialtys-caf%C3%A9-and-bakery-chicago-9?osq=cafe,29
61,/biz/kleins-bakery-and-caf%C3%A9-chicago?osq=cafe,29
62,/biz/grounds-of-being-the-divinity-school-coffee-shop-chicago?osq=cafe,29
63,/biz/aint-she-sweet-cafe-chicago-2?osq=cafe,29
64,/biz/cornerstone-cafe-chicago?osq=cafe,29
65,/biz/peets-coffee-chicago-4?osq=cafe,29
66,/biz/sputnik-coffee-company-chicago?osq=cafe,29
67,/biz/live-cafe-oak-park?osq=cafe,29
68,/biz/smack-dab-chicago-12?osq=cafe,29
69,/biz/xurro-chicago-4?osq=cafe,29
70,/biz/bridgeport-coffee-chicago-2?osq=cafe,30
71,/biz/akhirahs-praline-candy-chicago?osq=cafe,30
72,/biz/i-due-mondi-chicago-2?osq=cafe,30
73,/biz/the-spoke-and-bird-chicago?osq=cafe,30
74,/biz/kafenio-lavazza-chicago?osq=cafe,30
75,/biz/back-of-the-yards-coffeehouse-and-roastery-chicago?osq=cafe,30
76,/biz/arepa-george-chicago?osq=cafe,30
77,/biz/stans-donuts-and-coffee-chicago-16?osq=cafe,30
78,/biz/julius-meinl-coffee-bar-and-patisserie-chicago-2?osq=cafe,30
79,/biz/the-club-house-chicago-3?osq=cafe,30
80,/biz/sebastian-s-coffee-and-bakery-chicago?osq=cafe,31
81,/biz/kanela-breakfast-club-chicago-2?osq=cafe,31
82,/biz/cafeteria-marcelas-chicago?osq=cafe,31
83,/biz/hero-coffee-bar-chicago-6?osq=cafe,31
84,/biz/le-pain-quotidien-chicago-16?osq=cafe,31
85,/biz/dollop-coffee-chicago-3?osq=cafe,31
86,/biz/capital-one-caf%C3%A9-chicago-3?osq=cafe,31
87,/biz/fannies-chicago?osq=cafe,31
88,/biz/healthy-and-simple-chicago?osq=cafe,31
89,/biz/little-toasted-chicago-2?osq=cafe,31
90,/biz/carver-47-cafe-chicago?osq=cafe,32
91,/biz/space-519-the-lunchroom-chicago-3?osq=cafe,32
92,/biz/truenorth-cafe-hyde-park-chicago-2?osq=cafe,32
93,/biz/coronas-coffee-shop-chicago?osq=cafe,32
94,/biz/boo-bae-tea-chicago-3?osq=cafe,32
95,/biz/katherine-anne-confections-chicago?osq=cafe,32
96,/biz/starbucks-chicago-453?osq=cafe,32
97,/biz/dollop-bakeshop-chicago?osq=cafe,32
98,/biz/specialtys-caf%C3%A9-and-bakery-chicago-8?osq=cafe,32
99,/biz/dorothys-can-do-cafe-chicago?osq=cafe,32
100,/biz/aint-she-sweet-cafe-chicago?osq=cafe,33
101,/biz/shirleys-cafe-chicago?osq=cafe,33
102,/biz/eddies-sandwiches-chicago?osq=cafe,33
103,/biz/little-beans-cafe-chicago?osq=cafe,33
104,/biz/blood-fruit-chicago?osq=cafe,33
105,/biz/ellies-cafe-chicago?osq=cafe,33
106,/biz/saigon-sisters-chicago-2?osq=cafe,33
107,/biz/saigon-sisters-chicago-3?osq=cafe,33
108,/biz/peets-coffee-chicago-8?osq=cafe,33
109,/biz/dollop-coffee-chicago-5?osq=cafe,33
,Link,Num
0,/biz/bias-caf%C3%A9-marianao-chicago-2?osq=cafe,34
1,/biz/mambo-cafe-chicago?osq=cafe,34
2,/biz/edgebrook-coffee-shop-chicago?osq=cafe,34
3,/biz/leaf-and-bean-cafe-chicago?osq=cafe,34
4,/biz/do-rite-donuts-and-chicken-chicago-5?osq=cafe,34
5,/biz/the-daily-grind-chicago?osq=cafe,34
6,/biz/the-juice-house-chicago?osq=cafe,34
7,/biz/the-boathouse-cafe-chicago-3?osq=cafe,34
8,/biz/2121-pantry-chicago?osq=cafe,34
9,/biz/common-cup-chicago?osq=cafe,34
10,/biz/cafe-moderno-chicago?osq=cafe,35
11,/biz/cherubs-chicago?osq=cafe,35
12,/biz/flying-saucer-chicago?osq=cafe,35
13,/biz/le-pain-quotidien-chicago-20?osq=cafe,35
14,/biz/le-pain-quotidien-chicago-14?osq=cafe,35
15,/biz/bow-truss-coffee-roasters-chicago-6?osq=cafe,35
16,/biz/outdoor-caf%C3%A9-chicago-4?osq=cafe,35
17,/biz/tropikava-chicago?osq=cafe,35
18,/biz/azucar-chicago?osq=cafe,35
19,/biz/mission-house-cafe-berwyn?osq=cafe,35
20,/biz/bambu-chicago-2?osq=cafe,36
21,/biz/argo-tea-chicago-28?osq=cafe,36
22,/biz/ur-cafe-chicago?osq=cafe,36
23,/biz/kafenio-lavazza-chicago-3?osq=cafe,36
24,/biz/peets-coffee-chicago?osq=cafe,36
25,/biz/pret-a-manger-chicago-17?osq=cafe,36
26,/biz/firecakes-donuts-chicago-3?osq=cafe,36
27,/biz/pressed-skokie?osq=cafe,36
28,/biz/local-foods-cafe-chicago-2?osq=cafe,36
29,/biz/caff%C3%A8-r%C5%8Dm-chicago-5?osq=cafe,36
30,/biz/market-chicago-chicago?osq=cafe,37
31,/biz/stans-donuts-and-coffee-chicago-3?osq=cafe,37
32,/biz/stans-donuts-and-coffee-chicago?osq=cafe,37
33,/biz/ineeka-chicago?osq=cafe,37
34,/biz/left-coast-food-juice-chicago?osq=cafe,37
35,/biz/cafeteria-marianao-chicago?osq=cafe,37
36,/biz/yellow-rose-cafe-chicago?osq=cafe,37
37,/biz/peets-coffee-chicago-7?osq=cafe,37
38,/biz/joe-and-the-juice-chicago-8?osq=cafe,37
39,/biz/do-rite-donuts-and-chicken-chicago-4?osq=cafe,37
40,/biz/la-catedral-cafe-and-restaurant-chicago-4?osq=cafe,38
41,/biz/argo-tea-chicago-5?osq=cafe,38
42,/biz/edge-of-sweetness-chicago-2?osq=cafe,38
43,/biz/somethin-sweet-donuts-chicago-3?osq=cafe,38
44,/biz/le-pain-quotidien-chicago-18?osq=cafe,38
45,/biz/revive-club-and-cafe-cicero?osq=cafe,38
46,/biz/gordos-chicago-4?osq=cafe,38
47,/biz/demitasse-coffee-chicago?osq=cafe,38
48,/biz/cochon-555-chicago-2?osq=cafe,38
49,/biz/the-rolling-bean-chicago-3?osq=cafe,38
50,/biz/starbucks-chicago-312?osq=cafe,39
51,/biz/nespresso-boutique-at-bloomingdales-chicago?osq=cafe,39
52,/biz/steam-coffee-co-oak-brook-16?osq=cafe,39
53,/biz/firecakes-donuts-chicago-6?osq=cafe,39
54,/biz/joes-coffee-chicago?osq=cafe,39
55,/biz/the-artisan-cellar-chicago?osq=cafe,39
56,/biz/the-long-room-chicago?osq=cafe,39
57,/biz/ptci-chicago?osq=cafe,39
58,/biz/teamo-boba-bar-chicago-3?osq=cafe,39
59,/biz/starbucks-chicago-150?osq=cafe,39
60,/biz/kanela-breakfast-club-chicago-3?osq=cafe,40
61,/biz/dollop-coffee-chicago-4?osq=cafe,40
62,/biz/taste222-chicago?osq=cafe,40
63,/biz/mathers-more-than-a-cafe-chicago-4?osq=cafe,40
64,/biz/caf%C3%A9-san-francesco-chicago-2?osq=cafe,40
65,/biz/teagschwendner-chicago-4?osq=cafe,40
66,/biz/caf%C3%A9-logan-chicago?osq=cafe,40
67,/biz/lasalle-cafe-luna-chicago-2?osq=cafe,40
68,/biz/tease-tea-shoppe-chicago?osq=cafe,40
69,/biz/ex-libris-chicago?osq=cafe,41
70,/biz/le-pain-quotidien-chicago-19?osq=cafe,41
71,/biz/tempo-cafe-chicago?osq=cafe,41
72,/biz/beans-and-bagels-chicago-3?osq=cafe,41
73,/biz/foxtrot-market-wicker-park-chicago?osq=cafe,41
74,/biz/starbucks-chicago-447?osq=cafe,41
75,/biz/cafecito-bakery-la-grange?osq=cafe,41
76,/biz/pret-a-manger-chicago?osq=cafe,41
77,/biz/se%C3%B1or-pan-caf%C3%A9-chicago-3?osq=cafe,41
78,/biz/peets-coffee-chicago-2?osq=cafe,41
79,/biz/jam-chicago?osq=cafe,42
80,/biz/heritage-cafe-chicago?osq=cafe,42
81,/biz/allegro-coffee-chicago?osq=cafe,42
82,/biz/bake-for-me-chicago-4?osq=cafe,42
83,/biz/tutti-frutti-coffee-shop-chicago?osq=cafe,42
84,/biz/nespresso-boutique-at-sur-la-table-chicago?osq=cafe,42
85,/biz/counter-coffee-forest-park?osq=cafe,42
86,/biz/xo-marshmallow-chicago?osq=cafe,42
87,/biz/peets-coffee-chicago-6?osq=cafe,42
88,/biz/fare-chicago?osq=cafe,42
89,/biz/m-henry-chicago?osq=cafe,43
90,/biz/spoken-word-cafe-chicago?osq=cafe,43
91,/biz/carb-free-cafe-chicago?osq=cafe,43
92,/biz/the-ruin-daily-chicago-3?osq=cafe,43
93,/biz/l-a-burdick-handmade-chocolates-chicago-2?osq=cafe,43
94,/biz/nutella-cafe-chicago-3?osq=cafe,43
95,/biz/art-zone-gallery-and-cafe-chicago?osq=cafe,43
96,/biz/avito-caffe-berwyn?osq=cafe,43
97,/biz/owl-and-lark-la-grange?osq=cafe,43
98,/biz/adagio-teas-chicago?osq=cafe,43
99,/biz/pret-a-manger-chicago-12?osq=cafe,44
100,/biz/the-brothers-k-coffeehouse-evanston?osq=cafe,44
101,/biz/peets-coffee-chicago-5?osq=cafe,44
102,/biz/bridgeport-yogurt-and-cafe-chicago?osq=cafe,44
103,/biz/cafe-coralie-evanston?osq=cafe,44
104,/biz/oooh-wee-sweet-tea-chicago-2?osq=cafe,44
105,/biz/caffe-gelato-chicago?osq=cafe,44
106,/biz/euro-echo-cafe-skokie-2?osq=cafe,44
107,/biz/tiny-tapp-and-cafe-chicago?osq=cafe,44
108,/biz/mathers-more-than-a-cafe-chicago-3?osq=cafe,44
,Link,Num
0,/biz/cupitol-coffee-and-eatery-evanston?osq=cafe,45
1,/biz/mathers-more-than-a-cafe-chicago-2?osq=cafe,45
2,/biz/sip-and-savor-chicago-4?osq=cafe,45
3,/biz/stans-donuts-and-coffee-chicago-10?osq=cafe,45
4,/biz/caff%C3%A8-pronto-norridge?osq=cafe,45
5,/biz/zanzibar-cafe-chicago?osq=cafe,45
6,/biz/cafe-353-chicago?osq=cafe,45
7,/biz/specialtys-caf%C3%A9-and-bakery-chicago-7?osq=cafe,45
8,/biz/the-patio-at-caf-e-brauer-chicago?osq=cafe,45
9,/biz/starbucks-chicago-116?osq=cafe,45
10,/biz/starbucks-chicago-114?osq=cafe,46
11,/biz/corner-bakery-cafe-chicago-25?osq=cafe,46
